Date,ts_code,RSI,5upcross60,now_high_close,std_60,30_down,diff_MA60-MA90,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,ps,dv_ratio,total_mv,alpha001,alpha005,alpha020,alpha025,alpha033,alpha039,alpha088,pct_chg
2019-02-15,603901.SH,59.57560745745963,0.1399999999999999,-2.24,2.4148,-3.01,-0.19,7.02,2.7878,3.02,46.8427,39.6181,2.3751,2.2406,0.6484,308451.0963,0.8483263598326359,-0.0047026189676749,-0.3224319303613435,0.2666200139958012,0.4564917127071823,-1.0812619121069549,0.3680939226519337,1.01
2020-11-30,603903.SH,61.3621792547276,0.92,-1.48,2.3074,-0.25,-3.34,12.05,2.6361,2.43,21.9453,19.0179,2.4947,1.8239,0.3813,243825.619,0.844390243902439,-0.4497899117997886,-0.1032854065061383,0.1207920792079207,0.0583090379008746,-1.4018666265241606,0.3391642371234208,4.24
2018-04-12,603906.SH,58.76075455884634,0.64,-0.95,5.7728,-1.08,-2.83,14.61,3.6807,1.21,34.5206,31.9767,2.5891,2.9851,0.0,309322.92,0.8333333333333334,-0.0397083824484825,-0.0807730948820071,0.3075376884422111,0.2928994082840236,0.0,0.291913214990138,0.62
2020-05-19,603908.SH,60.29287369873405,0.42,-0.48,3.0456,0.69,-1.4,23.59,0.9726,1.63,38.572,38.778,3.4467,2.9717,3.1793,157321.71,0.83544921875,-0.1528851314082974,-0.1463769617676634,0.2645034414945919,0.1293436293436293,-1.2718779288807556,0.8677606177606177,2.3
2021-03-16,603908.SH,65.40437354346807,0.73,0.0,4.7477,-0.76,-7.88,22.79,0.6527,1.17,37.264,31.7549,3.4269,2.871,3.2909,151986.51,0.83544921875,-0.1889236520028026,-0.4115508988253661,0.5058997050147492,0.0897683397683397,-1.0612590652525304,0.082046332046332,2.66
2019-09-12,603917.SH,62.3019491170357,0.21,-0.26,3.6845,-1.52,-2.1,10.93,1.6091,0.77,17.5313,18.1798,1.8278,2.8115,0.9803,171382.4,0.8363309352517986,-0.2121974806585995,-0.0286191491743781,0.3769507803121248,0.3485915492957746,-1.3228531896729372,0.4624413145539906,0.74
2020-01-13,603918.SH,59.91034685991477,0.3399999999999999,-0.16,3.5667,-1.89,-0.06,12.05,1.5189,0.68,54.8831,51.93,4.6871,3.3755,0.5745,281156.9865,0.8377192982456141,-0.3242638058972027,-0.050002727777745,0.3872875092387287,0.347667638483965,-1.315694812756255,0.8739067055393586,0.67
2021-03-08,603918.SH,65.98349146018192,0.2,-2.23,5.9302,-0.3,-7.19,10.07,1.2362,1.36,37.132,32.8339,3.4819,2.5056,0.8373,236689.6,0.8377192982456141,-0.0429665254273304,-0.2085713974686704,0.3052475979305247,0.3520408163265306,-1.0911119156889415,0.2266763848396501,0.5
2020-09-29,603920.SH,61.303033035076695,0.13,-2.13,2.1185,1.08,0.08,24.81,1.8202,2.91,30.9021,29.2819,4.0064,4.1655,1.7726,1015957.5912,0.8431771894093686,-0.7534870379002474,-0.0479795035030009,0.0478128179043743,0.0219560878243512,-1.297123065526837,0.0978043912175648,5.57
2018-11-19,603926.SH,64.05099820860293,1.24,-1.28,5.3029,-0.49,-5.48,15.5,1.5294,1.09,17.5717,22.8015,1.7312,2.2518,0.0,191843.5,0.8382956878850103,-0.0926581741880981,-0.1478930822228189,0.1498973305954825,0.2739174219536757,-0.9780434142511288,0.040281973816717,1.44
2021-03-05,603926.SH,62.87772767665587,0.27,-0.6,3.8153,-1.08,-5.65,11.67,0.3691,0.9,15.4396,14.1871,1.5672,1.28,2.5709,186967.404,0.8382956878850103,-0.2733819516068674,-0.1141524755847901,0.2792607802874743,0.2547834843907351,-1.3131079740016138,0.080563947633434,1.66
2018-04-03,603928.SH,58.65883517050678,0.03,-3.81,4.7144,0.0699999999999999,-1.99,14.75,6.1564,2.44,21.9465,21.9465,2.6169,2.3178,1.3559,297360.0,0.835195530726257,-0.1815688900352101,-0.0007133998543661,0.0587686567164179,0.0329972502291475,-0.8525606752504579,0.0284142988084326,2.5700000000000003
2018-11-21,603928.SH,62.32606790378529,0.12,-0.1399999999999999,4.9416,1.37,-4.96,13.75,5.6808,1.54,20.4586,18.3078,2.3062,2.1607,1.4545,277200.0,0.835195530726257,-0.3543222146703173,-0.0008379542079752,0.2229477611940298,0.0192483959670027,-0.9401924779342804,0.0467461044912923,4.09
2017-08-31,603929.SH,66.18895266920343,1.7999999999999998,-1.39,6.3425,-0.53,-5.46,22.45,9.3909,1.33,28.9876,35.9832,5.1241,2.2978,0.0,478993.2,0.8495782567947516,-0.2745995660079194,-0.0109522312461748,0.1172022684310018,0.075208913649025,0.0,0.0844939647168059,3.5000000000000004
2020-06-01,603933.SH,56.49897189174688,0.29,-0.22,3.6706,-1.26,-3.25,13.49,8.1313,1.56,90.1184,151.8539,2.6513,1.8369,1.5885,271463.5868,0.8290598290598291,-0.275327540665146,-0.1197027217215698,0.3315508021390374,0.2295597484276729,-1.592444973675736,0.1876310272536687,2.82
2019-01-11,603936.SH,57.71451644848951,0.29,-3.11,4.1834,-3.84,-3.51,15.2,1.804,1.42,52.4276,37.5207,1.5402,1.9436,0.3229,342041.5644,0.8388663967611336,-0.0120882979257009,-0.698730015523998,0.2991803278688524,0.8991121872477804,-0.8038780663780664,0.5230024213075061,0.73
2020-06-04,603936.SH,60.12143162039568,1.69,-2.06,3.4493,-0.58,-7.24,13.83,3.0429,1.44,30.2632,30.5604,2.4768,2.2852,0.3689,609977.1233,0.8388663967611336,-0.5601805981417752,-0.5123638120098487,0.1237704918032786,0.4794188861985472,-1.669403450085268,0.2356739305891848,1.84
2019-02-14,603938.SH,64.19628632880111,0.4499999999999999,-0.4599999999999999,3.3873,-1.72,-3.31,19.31,7.183,2.57,20.3141,21.4744,2.8001,2.6995,1.0357,289971.7046,0.8375661375661375,-0.1342274305555555,-0.3220101004238244,0.2954303931987247,0.1458333333333333,-0.7417113475397111,0.1083333333333333,3.26
